"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Superintendência / CE","800626/2015","Requerimento de Registro de Extração","Registro de Extração","07.598.634/0001-37","Município de Sobral","SOBRAL - CE","AREIA","Construção civil","Sim"
"Superintendência / CE","800710/2013","Requerimento de Registro de Extração","Registro de Extração","07.598.618/0001-44","Prefeitura Municipal de Coreaú","COREAÚ - CE","SAIBRO","Construção civil","Sim"
"Superintendência / PI","803075/2007","Requerimento de Registro de Extração","Registro de Extração","06.554.869/0001-64","Prefeitura Municipal de Teresina","TERESINA - PI","AREIA","Construção civil","Sim"
"Superintendência / MA","806133/2006","Requerimento de Registro de Extração","Registro de Extração","00.394.429/0124-60","CENTRO DE LANÇAMENTO DE ALCÂNTARA","ALCÂNTARA - MA","LATERITA","Construção civil","Sim"
"Superintendência / MA","806134/2006","Requerimento de Registro de Extração","Registro de Extração","00.394.429/0124-60","CENTRO DE LANÇAMENTO DE ALCÂNTARA","ALCÂNTARA - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806135/2006","Requerimento de Registro de Extração","Registro de Extração","00.394.429/0124-60","CENTRO DE LANÇAMENTO DE ALCÂNTARA","ALCÂNTARA - MA","LATERITA","Construção civil","Sim"
"Superintendência / MA","806136/2006","Requerimento de Registro de Extração","Registro de Extração","00.394.429/0124-60","CENTRO DE LANÇAMENTO DE ALCÂNTARA","ALCÂNTARA - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806220/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806221/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806222/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806223/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806233/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / MA","806234/2008","Requerimento de Registro de Extração","Registro de Extração","08.892.295/0001-60","Secretaria de Estado das Cidades e Desenvolvimento Regional Sustentável","SÃO LUÍS - MA","AREIA","Construção civil","Sim"
"Superintendência / RS","810002/2013","Requerimento de Registro de Extração","Registro de Extração","01.607.509/0001-60","Prefeitura Municipal de Fazenda Vilanova","FAZENDA VILANOVA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810002/2018","Requerimento de Registro de Extração","Registro de Extração","88.821.079/0001-62","Municipio de Rio Pardo","RIO PARDO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810003/2015","Requerimento de Registro de Extração","Registro de Extração","87.530.978/0001-43","Prefeitura Municipal de Cachoeira do Sul","CACHOEIRA DO SUL - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810003/2018","Requerimento de Registro de Extração","Registro de Extração","88.821.079/0001-62","Municipio de Rio Pardo","RIO PARDO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810004/2010","Requerimento de Registro de Extração","Registro de Extração","88.080.379/0001-38","Prefeitura Municipal de Herval, Rs","HERVAL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810005/2010","Requerimento de Registro de Extração","Registro de Extração","88.080.379/0001-38","Prefeitura Municipal de Herval, Rs","HERVAL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810005/2012","Requerimento de Registro de Extração","Registro de Extração","88.414.552/0001-97","Prefeitura Municipal de Jaguarão","JAGUARÃO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810006/2016","Requerimento de Registro de Extração","Registro de Extração","93.235.950/0001-86","Município de Pareci Novo","PARECI NOVO - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810007/2014","Requerimento de Registro de Extração","Registro de Extração","04.217.437/0001-32","Município de Aceguá","ACEGUÁ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810007/2016","Requerimento de Registro de Extração","Registro de Extração","93.235.950/0001-86","Município de Pareci Novo","PARECI NOVO - RS","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Superintendência / RS","810008/2013","Requerimento de Registro de Extração","Registro de Extração","88.661.400/0001-99","Município de Teutônia","TEUTÔNIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810009/2016","Requerimento de Registro de Extração","Registro de Extração","87.502.886/0001-50","Prefeitura Municipal Paraí","PARAÍ - RS","CASCALHO, CASCALHO","Brita, Construção civil","Sim"
"Superintendência / RS","810010/2016","Requerimento de Registro de Extração","Registro de Extração","90.256.660/0001-20","Prefeitura Municipal Terra de Areia","TERRA DE AREIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810014/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.188/0001-21","Município de Três Passos","TRÊS PASSOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810015/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.188/0001-21","Município de Três Passos","TRÊS PASSOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810016/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.188/0001-21","Município de Três Passos","TRÊS PASSOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810016/2016","Requerimento de Registro de Extração","Registro de Extração","01.601.856/0001-85","Prefeitura Municipal de Novo Cabrais","NOVO CABRAIS - RS, PARAÍSO DO SUL - RS","CASCALHO, CASCALHO","Brita, Construção civil","Sim"
"Superintendência / RS","810017/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.188/0001-21","Município de Três Passos","TRÊS PASSOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810018/2017","Requerimento de Registro de Extração","Registro de Extração","91.103.127/0001-91","Prefeitura Municipal Três Cachoeiras","TRÊS CACHOEIRAS - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810019/2016","Requerimento de Registro de Extração","Registro de Extração","92.868.850/0001-24","Prefeitura Municipal de São Jose dos Ausentes","SÃO JOSÉ DOS AUSENTES - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810020/2011","Requerimento de Registro de Extração","Registro de Extração","87.860.763/0001-90","Município de Salvador do Sul","SALVADOR DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810020/2016","Requerimento de Registro de Extração","Registro de Extração","87.613.253/0001-19","Município de Ajuricaba","AJURICABA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810023/2016","Requerimento de Registro de Extração","Registro de Extração","87.490.306/0001-51","Prefeitura Municipal de Restinga Seca","RESTINGA SÊCA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810023/2018","Requerimento de Registro de Extração","Registro de Extração","87.613.469/0001-84","Prefeitura Municipal de Aratiba","ARATIBA - RS","BASALTO","Pedra de talhe","Sim"
"Superintendência / RS","810024/2014","Requerimento de Registro de Extração","Registro de Extração","95.440.517/0001-08","Prefeitura Municipal de Santa Cruz do Sul","SANTA CRUZ DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810024/2016","Requerimento de Registro de Extração","Registro de Extração","87.490.306/0001-51","Prefeitura Municipal de Restinga Seca","RESTINGA SÊCA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810025/2008","Requerimento de Registro de Extração","Registro de Extração","93.235.950/0001-86","Município de Pareci Novo","PARECI NOVO - RS","SAIBRO","Construção civil","Sim"
